Organization Id,Name,Website
95105353,Blackhorn Ventures,blackhornvc.com
10980507,URBAN-X,urban-x.com
282610437,C3,joinc3.co
1680908,160 Varick St.,poly.edu
1685981,Williams College,williams.edu
1557758,Cooley,cooley.com
161815305,Muus Asset Management,muus.com
286353292,MUUS Climate Partners,muus.com
1640466,Navigant,navigant.com
1687449,Stanford University,stanford.edu
138821030,PG Impact Investments,pg-impact.com
120607380,Highlands Ventures,highlandvg.com
1754306,Factor[e] Ventures,factore.com
136364883,Redstone Strategy Group,redstonestrategy.com
215463465,7thirty Capital,7thirtycapital.com
283734566,Locomation,locomation.ai
1573208,First Republic Bank,firstrepublic.com
283856485,Petra Funds Group,petrafundsgroup.com
1522088,Riverstone Holdings,riverstonellc.com
1630657,Carta,carta.com
1657866,Tennessee Valley Authority,tva.gov
1713097,GridCure,gridcure.com
78843826,Wharton,wharton.upenn.edu
1689496,University of Pennsylvania,upenn.edu
60618899,Venture for America,ventureforamerica.org
136314906,Moye White,moyewhite.com
1622160,Lang.ai,lang.ai
1657311,Westlake Chemical Corporation,westlake.com
1548459,Seaport Capital,seaportcapital.com
223219423,Proeza Ventures,proezaventures.com
283734574,Modulous,modulous.com
1519406,Draper Triangle,drapertriangle.com
224961915,Dynamo Energy Hub,dynamoenergyhub.com
279153688,Curtis Leadership Coaching,curtisleadership.com
222065619,AXA XL,axaxl.com
1526239,Partners Group,partnersgroup.com
164721942,Vecna Robotics,vecnarobotics.com
283750358,Duet Build,duetbuild.com
284469615,Boland Lord Design,bolandlorddesign.com
283750294,Bonfils Stanton,bonfils-stanton.org
160423308,AV8 Ventures,av8.vc
1627773,CB Insights,cbinsights.com
1687301,Pluralsight,pluralsight.com
1728849,GitPrime,gitprime.com
142375273,King Energy,kinghq.com
278311200,Cole Valley Group,colevalleygroup.com
1544573,National Renewable Energy Laboratory,nrel.gov
1615632,Cambridge Associates,cambridgeassociates.com
1781251,BuiltWorlds,builtworlds.com
1530212,UBS,ubs.com
283046197,Docusign.net,docusign.net
1520485,Bloomberg,bloomberg.com
278518735,Isometric Technologies,iso.io
144908259,Neuberger Berman Loan Advisers Holdings,nb.com
159037736,Datch,datch.io
1686855,Colorado State University,colostate.edu
283995150,Kennethmunson,kennethmunson.com
1516588,Voyager Capital,voyagercapital.com
136354344,Silicon Valley Data Capital,svdcapital.com
161113116,Toggle,toggle.is
1727399,Rhumbix,rhumbix.com
71590508,HOLT CAT,holtcat.com
278353322,Inside Stories by Duet Design Group,insidestories.com
262852446,BAM,bamtheagency.com
1561418,6hours Associates,6hours.nl
1657741,Prologis,prologis.com
117396829,AXIOS Media,axios.com
263194439,Agorus,agorusbuild.com
1519236,Gartner,gartner.com
225046531,ecoworks,ecoworks.tech
1741505,Conservation International,conservation.org
268245806,Aspen HR,aspenhr.com
2160513,Rockefeller & Co.,rockco.com
37580251,Colorado School of Mines,mines.edu
263169674,NEWLINE VENTURES,newlineventures.com
279330475,Chan CPA & Company,chancpa.com
283734555,GridRaster Inc,gridraster.com
223146969,Grasshopper Bank,grasshopper.bank
1631283,Simpson Strong-Tie Company,strongtie.com
78864051,DPR Construction,dpr.com
283731462,Zacuaventures,zacuaventures.com
1615472,Baker Botts LLP,bakerbotts.com
278763714,PCM Companies,pcmmgmt.com
79707231,University of Wyoming,uwyo.edu
161876720,The Hawthorn Club,thehawthornclub.com
147493865,Amperon,amperon.co
204033398,Optimise,optimise-eu.com
222150664,Ala Kukui,alakukui.org
3938297,"Frank, Rimerman + Co. LLP",frankrimerman.com
283767910,Rivenstonellc,rivenstonellc.com
262729373,Suffolk Construction,suffolk.com
283734584,onepointone.com,onepointone.com
162567782,Cripps,cripps.co.uk
212139337,Hyperframe,hyperframe.com
136342788,Proficio Capital Partners,proficiocap.com
131081675,Buzz Solutions,buzzsolutions.co
285384452,Elia Group,elia.be
1617333,Willkie Farr & Gallagher LLP,willkie.com
150130234,MITIMCo,mitimco.org
161827595,MMX Management,mmxmanagement.com
281882900,Stanford Artificial Intelligence Laboratory (SAIL),ai.stanford.edu
220931808,Venture X,venturex.com
223657403,Tiedemann Advisors,tiedemannadvisors.com
130574831,Alpha Ledger,alphaledger.com
1629645,HUB International,hubinternational.com
1719528,"Osler, Hoskin & Harcourt",osler.com
1535890,Silicon Valley Bank,svb.com
1627386,Drive Capital,drivecapital.com
79715508,New Mexico State University,nmsu.edu
223943072,CREO Syndicate,creosyndicate.org
263017128,Veloce Energy Inc.,veloceenergy.com
263037387,EMC,emc.com
17377097,Utah State Legislature,utah.gov
152148912,PropTech1 Ventures,proptech1.ventures
78864361,State of Wyoming,wyo.gov
136379574,Graycor,graycor.com
1514321,Highland Capital Partners,hcp.com
262914473,"Magnolia Law, APC",magnolialaw.io
263412926,Carbon Equity,carbonequity.com
285625942,king energy,kingenergy.com
120130097,Humatics,humatics.com
1522107,HILTI,hilti.com
285345049,Pineridgeadvisers,pineridgeadvisers.com
136310788,Tenfore Holdings,tenforeholdings.com
263398770,Electric Era,electriceratechnologies.com
1723648,Evercore Partners,evercore.com
283704446,Builders Vision,buildersvision.com
1589239,Saint-Gobain,saint-gobain.com
1758877,VINCI,vinci.com
1514313,LinkedIn,linkedin.com
263192921,Sevanta Systems,sevanta.com
78854984,The Caprock Group,caprock.com
283728780,Egii,egii.com
1777679,Pangeam Inc.,pangeam.com
201778037,Circuit Mind,circuitmind.io
281883106,Alamosa County Road & Bridge,alamosacounty.org
219800301,WND Ventures,wndventures.com
221243896,ePM,epm.cc
136349093,Substack,substack.com
136378160,BBR Partners,bbrpartners.com
161854760,Goldbeck,goldbeck.de
1622109,PeopleConnect,peopleconnectstaffing.com
24993182,CTRL Collective,ctrlcollective.com
282406166,awi-cc,awiccvail.com
283731492,Flexofficeadvisors,flexofficeadvisors.com
220318460,Leela Capital,leelacapital.com
283735252,Optera,opteraclimate.com
223919260,TradeMissions.org,trademissions.org
1532876,BDC,bdc.ca
268061507,Taiyō,taiyo.ai
282849599,D4 Ventures,d4ventures.com
283734542,Drawboard,drawboard.com
1546196,Temasek,temasek.com.sg
1673208,ALICE Technologies,alicetechnologies.com
262567627,Insight Business Systems,insightbiztools.com
263595589,THERMA,hellotherma.com
1600955,Liberty Global Ventures,libertyglobal.com
279200634,Outcast,thisisoutcast.com
283734565,LatentAI,latentai.com
1525502,Fenwick & West,fenwick.com
136317985,Blue Bear Capital,bluebearcap.com
283750292,Hrkgroup,hrkgroup.com
1542332,Los Alamos National Laboratory,lanl.gov
1622275,Susquehanna International Group (SIG),sig.com
204033237,Enventix,enventixinc.com
224897520,Veranda Venture Partners,verandavp.com
1556048,Sandia National Labs,sandia.gov
1638717,Elemental Excelerator,elementalexcelerator.com
222330468,Gather AI,gather.ai
1819648,essensys,essensys.tech
260472317,Ford Motor,ford.com
161876149,Tomasz Tunguz,tomtunguz.com
163289438,Maniv Mobility,maniv.com
202566667,BMW Foundation Herbert Quandt,bmw-foundation.org
223830484,Dan Pickering,pickeringenergypartners.com
1734797,Alpaca VC,alpaca.vc
262486555,Darko Entertainment,darko.com
1555062,Houlihan Lokey,hl.com
224004081,IEQ Capital,ieqcapital.com
1552413,Fontinalis Partners,fontinalis.com
2180604,Brener International Group,brenergroup.com
164005770,Tenderd,tenderd.com
278333132,Hometeam Ventures,hometeam.vc
286264801,Builders Private Capital,buildersprivatecapital.com
213998894,Building Ventures,buildingventures.com
17376977,Corigin,corigin.com
111632250,Fifth Wall,fifthwall.com
145559189,Common Energy,commonenergy.us
132900580,Upstart Co-Lab,upstartco-lab.org
161806352,Align17,align17.com
224064641,ConTech,contech.me
263105321,AppFolio Investment Management,appfolioinvestmentmanagement.com
1648907,CytoVale,cytovale.com
202551440,WREN INVESTMENT OFFICE LIMITED,wreninvestmentoffice.com
283855775,Azolla Ventures,azollaventures.com
223678462,Marpa Landscape Architecture,marpa.com
262031203,Flow Labs,flowlabs.ai
283734560,Hive Map,hivemap.io
1662649,Preqin,preqin.com
161864417,Ravi Shah,mecstudio.com
1617225,United Airlines,united.com
1715433,The Atlantic,theatlantic.com
1797230,Alaska Permanent Fund,apfc.org
136986966,Energy Web Foundation,energyweb.org
1786018,EnMass Energy,enmassenergy.com
263156939,Bluewave,bluewavecapital.co
265629038,RENEWABLE RESOURCES GROUP,renewablegroup.com
283731453,Suttonpl,suttonpl.com
1616902,Vail Resorts,vailresorts.com
1690897,Union Square Ventures,usv.com
112951001,Brick & Mortar Ventures,brickmortar.vc
128365827,KEWAZO,kewazo.com
225176343,SkyBridge Associates,skybridge.associates
284991402,Lkadvisers,lkadvisers.com
268247797,True Search,truesearch.com
163280616,CoFi,cofisoftware.com
263006726,Ascend Manufacturing,ascend-3d.com
280702920,Yildiz Ventures,yildiz.ventures
284930163,Nomadic Venture Partners,nomadicvp.com
1550999,BuysideIQ,ihsmarkit.com
220181431,Upstart Group,upstartgroup.com
263328706,Sustainment,sustainment.tech
283320286,Switch,switch-ev.com
1527281,GreenBiz,greenbiz.com
1620654,Owens Corning,owenscorning.com
59485821,Unshackled Ventures,unshackledvc.com
73479309,Grit Ventures,gritventures.com
